id,name_ja,name_en,image_file_path,hp,phy,int,agi,trend_hp,trend_phy,trend_int,trend_agi,active_skill_ids,active_skill_names_ja,active_skill_descriptions_ja,passive_skill_id,passive_skill_name_ja,passive_skill_description_ja
101,クリーパー ショート,Creeper-short,Image/Enemies/101.png,8,4,4,4,42,36,16,26,4001/4001/4003,スパミング 1.0; スパミング 1.0; スパミング 1.2,先頭の敵にPHYの10〜30％分ダメージ | 先頭の敵にPHYの10〜30％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ,,,
102,クリーパー トール,Creeper-tall,Image/Enemies/102.png,9,5,5,5,39,37,17,27,4003/4003/4003,スパミング 1.2; スパミング 1.2; スパミング 1.2,先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ,,,
103,クリーパー グランデ,Creeper-grande,Image/Enemies/103.png,9,5,5,5,39,27,27,27,4003/4010/4010,スパミング 1.2; リファクタリング 1.0; リファクタリング 1.0,先頭の敵にPHYの25〜45％分ダメージ | 最もHPの低い味方のPHYをINTの5〜15%分アップ | 最もHPの低い味方のPHYをINTの5〜15%分アップ,,,
104,クリーパー ヴェンティ,Creeper-venti,Image/Enemies/104.png,10,6,6,6,39,37,17,27,4003/4005/4005,スパミング 1.2; スパミング 2.0; スパミング 2.0,先頭の敵にPHYの25〜45％分ダメージ | 敵全体にPHYの10〜50％分ダメージ | 敵全体にPHYの10〜50％分ダメージ,4016,スパムボム 2.0,初めてHPが30％未満になった時、敵全体にPHYの30〜60%分ダメージ
105,クリーパー マキアート,Creeper-macchiato,Image/Enemies/105.png,9,5,5,5,39,37,17,27,4003/4003/4003,スパミング 1.2; スパミング 1.2; スパミング 1.2,先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ | 先頭の敵にPHYの25〜45％分ダメージ,,,
106,クリーパー フラペチーノ,Creeper-frappuccino,Image/Enemies/106.png,16,12,12,12,39,37,17,27,4003/4012/4012,スパミング 1.2; リファクタリングボム 2.0; リファクタリングボム 2.0,先頭の敵にPHYの25〜45％分ダメージ | 味方全体のPHYをINTの10〜30%分アップ | 味方全体のPHYをINTの10〜30%分アップ,,,
111,エルククローナ ショート,Elk Cloner-short,Image/Enemies/111.png,5,7,4,4,30,24,42,24,4002/4002/4004,フィッシング 1.0; フィッシング 1.0; フィッシング 1.2,先頭の敵にINTの10〜30％分ダメージ | 先頭の敵にINTの10〜30％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ,,,
112,エルククローナ トール,Elk Cloner-tall,Image/Enemies/112.png,6,8,5,5,30,25,40,25,4002/4004/4004,フィッシング 1.0; フィッシング 1.2; フィッシング 1.2,先頭の敵にINTの10〜30％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ | 先頭の敵にINTの25〜45％分ダメージ,,,
113,エルククローナ グランデ,Elk Cloner-grande,Image/Enemies/113.png,6,8,5,5,30,25,40,25,4002/4013/4013,フィッシング 1.0; ディープラーニング 1.0; ディープラーニング 1.0,先頭の敵にINTの10〜30％分ダメージ | 最もHPの低い味方のINTをINTの5〜15%分アップ | 最もHPの低い味方のINTをINTの5〜15%分アップ,,,
114,エルククローナ ヴェンティ,Elk Cloner-venti,Image/Enemies/114.png,7,9,6,6,32,25,38,25,4004/4006/4006,フィッシング 1.2; フィッシング 2.0; フィッシング 2.0,先頭の敵にINTの25〜45％分ダメージ | 敵全体にINTの10〜50％分ダメージ | 敵全体にINTの10〜50％分ダメージ,4016,スパムボム 2.0,初めてHPが30％未満になった時、敵全体にPHYの30〜60%分ダメージ
