id,name_ja,name_en,image_file_path,category,is_dictionary_visible,rarity,faction_ja,faction_en,hp,phy,int,agi,passive_name_ja,passive_name_en,passive_text_ja,passive_text_en,attributes_ja,attributes_en,enchants
1001,コナン・ドイル,Arthur Conan Doyle,Image/Heroes/1001.png,original,true,Common,玄武,GENBU,192,25,69,138,シャーロック・ホームズ,Sherlock Holmes,自身のHPが70%未満の時に{triggerRate}%の確率で1回だけ発動 / 先頭の味方のINTを自身のINTの30%アップ,"If this hero's HP is less than 70% , {triggerRate}% chance to trigger once. / Increase the first ally's INT by 30% of this hero's INT.",文系学問; イギリス; 謎,Soft Science; England; Mystery,
1002,甲斐姫,Kaihime,Image/Heroes/1002.png,original,true,Common,朱雀,SUZAKU,162,79,45,118,浪切,Namikiri,自身がActive Skillを使用した後に{triggerRate}%の確率で発動 / 先頭の味方のPHYを自身のPHYの15%ダウン / 先頭の敵に自身のPHYの50%ダメージ,"After this hero uses an Active Skill, {triggerRate}% chance to trigger. / Decrease the first ally's PHY by 15% of this hero's PHY. / Deal damage to the first enemy equal to 50% of this hero's PHY.",女性; 戦国; 長柄武器,Female; Sengoku; Pole weapon,
1003,張遼,Zhang Liao,Image/Heroes/1003.png,original,true,Common,白虎,BYAKKO,222,67,62,93,遼来遼来,Zhang Liao is coming!,自身がActive Skillでダメージを受けた後に{triggerRate}%の確率で発動 / 最後尾の敵に自身のPHYの20%ダメージ,"After this hero takes damage from an Active Skill, {triggerRate}% chance to trigger. / Deal damage to the last enemy equal to 20% of this hero's PHY.",三国志; 魏; 斧,Romance of the Three Kingdoms; Wei; Axe,
1004,シートン,Ernest Thompson Seton,Image/Heroes/1004.png,original,true,Common,玄武,GENBU,345,66,69,46,狼王ロボ,Lobo the King of Currumpaw,バトル開始時に{triggerRate}%の確率で発動 / PHYが最も高い敵に自身のINTの40%ダメージ / PHYが最も高い敵に{successRate}%の確率で出血を付与,"At the start of battle, {triggerRate}% chance to trigger. / Deal damage to the enemy with the highest PHY equal to 40% of this hero's INT. / {successRate}% chance to inflict Bleed on the enemy with the highest PHY.",文系学問; 動物; イギリス,Soft Science; Animal; England,
1005,伊能忠敬,Inō Tadataka,Image/Heroes/1005.png,original,true,Common,黄竜,KOURYU,132,20,74,158,大日本沿海輿地全図,Dai Nihon Enkai Yochi Zenzu,自身が死亡した後に{triggerRate}%の確率で1回だけ発動 / 味方全体のINTを自身のAGIの25 ~ 30%アップ,"After this hero dies, {triggerRate}% chance to trigger once. / Increase the INT of all allies by 25 ~ 30% of this hero's AGI.",文系学問; 旅; 江戸,Soft Science; Journey; Edo,
1006,ピタゴラス,Pythagoras,Image/Heroes/1006.png,original,true,Common,青龍,SEIRYU,216,84,84,56,テトラクテュス,Tetractys,自身のHPが40%未満の時に{triggerRate}%の確率で1回だけ発動 / PHYが最も高い味方のPHYを自身のINTの28%アップ / INTが最も高い味方のINTを自身のPHYの28%アップ,"If this hero's HP is less than 40% , {triggerRate}% chance to trigger once. / Increase the PHY of the ally with the highest PHY by 28% of this hero's INT. / Increase the INT of the ally with the highest INT by 28% of this hero's PHY.",文系学問; 理系学問; ギリシャ,Soft Science; Hard Science; Greece,
1007,大長今,Jang-geum,Image/Heroes/1007.png,original,true,Common,白虎,BYAKKO,261,40,115,54,李氏朝鮮、宮廷医女,Joseon dynasty's Uinyeo,自身がActive Skillを使用した後に{triggerRate}%の確率で発動 / HPが最も低い味方のHPを回復係数の15%回復,"After this hero uses an Active Skill, {triggerRate}% chance to trigger. / Heal the ally with the lowest HP for 15% of Healing Coefficient.",理系学問; 女性,Hard Science; Female,
1008,ジョン・L・サリバン,John L. Sullivan,Image/Heroes/1008.png,original,true,Common,朱雀,SUZAKU,264,85,35,88,ボストン・ストロング・ボーイ,Boston Strong Boy,自身がActive Skillでダメージを受けた後に{triggerRate}%の確率で発動 / 自身のチャージを自身のHP減少量の100 ~ 250%アップ,"After this hero takes damage from an Active Skill, {triggerRate}% chance to trigger. / Increase this hero's CHARGE by 100 ~ 250% of this hero's HP decrease.",決闘; アメリカ大陸; 格闘,Duel; America; Grappling,
1009,ヘルクレスオオカブト,Hercules beetle,Image/Heroes/1009.png,collaboration,true,Common,青龍,SEIRYU,267,72,71,64,ローリングドライバー,Rolling Driver,バトル開始時に{triggerRate}%の確率で発動 / INTが最も高い敵のINTを自身のINTの64%ダウン / INTが最も低い敵のINTを対象のPHYの100%アップ,"At the start of battle, {triggerRate}% chance to trigger. / Decrease the INT of the enemy with the highest INT by 64% of this hero's INT. / Increase the INT of the enemy with the lowest INT by 100% of target's PHY.",アメリカ大陸,America,
1010,ギラファノコギリクワガタ,Prosopocoilus giraffa,Image/Heroes/1010.png,collaboration,true,Common,玄武,GENBU,306,89,41,64,ブルロック,Bull Rock,自身のPHY/INT/AGI合計が元の値の150%以上の時に{triggerRate}%の確率で1回だけ発動 / 先頭の敵に自身のPHYの64%ダメージ,"If the total PHY/INT/AGI of this hero is over 150% of its original value, {triggerRate}% chance to trigger once. / Deal damage to the first enemy equal to 64% of this hero's PHY.",アジア,Asia,
2001,ライト兄弟,Wright Brothers,Image/Heroes/2001.png,original,true,Uncommon,黄竜,KOURYU,219,47,85,135,ライトフライヤー号,Wright Flyer,バトル開始時に{triggerRate}%の確率で発動 / 味方全体のAGIを自身のINTの10%アップ,"At the start of battle, {triggerRate}% chance to trigger. / Increase the AGI of all allies by 10% of this hero's INT.",理系学問; アメリカ大陸; デュオ; 機械,Hard Science; America; Duo; Machine,
2002,スパルタクス,Spartacus,Image/Heroes/2002.png,original,true,Uncommon,朱雀,SUZAKU,573,59,42,42,剣闘士の反乱,Gladiator War,自身のHPが60%未満の時に{triggerRate}%の確率で1回だけ発動 / 自身のPHYを敵全体のINT増加量合計の100%アップ / 「INTが最も高い敵に自身のPHYの30 ~ 50%ダメージ」を2回繰り返す / 自身のPHYを敵全体のINT増加量合計の100%ダウン,"If this hero's HP is less than 60% , {triggerRate}% chance to trigger once. / Increase this hero's PHY by 100% of the total INT increase of all enemies. / [2 times]Deal damage to the enemy with the highest INT equal to 30 ~ 50% of this hero's PHY. / Decrease this hero's PHY by 100% of the total INT increase of all enemies.",決闘; ローマ,Duel; Rome,
2003,ジャックザリッパー,Jack the Ripper,Image/Heroes/2003.png,original,true,Uncommon,黄竜,KOURYU,234,108,25,123,ランゲルライン,Langer's Line,自身がActive Skillを使用した後に{triggerRate}%の確率で発動 / 最後尾の敵に自身のPHY減少量の80%ダメージ / 最後尾の敵に自身のPHYの20%ダメージ / 中衛の味方のPHYを自身のINTの20%ダウン / 自身のAGIを自身のAGIの5%アップ,"After this hero uses an Active Skill, {triggerRate}% chance to trigger. / Deal damage to the last enemy equal to 80% of this hero's PHY decrease. / Deal damage to the last enemy equal to 20% of this hero's PHY. / Decrease the midline ally's PHY by 20% of this hero's INT. / Increase this hero's AGI by 5% of this hero's AGI.",隠密; オカルト; イギリス,Covert; Occult; England,
2004,シューベルト,Franz Schubert ,Image/Heroes/2004.png,original,true,Uncommon,玄武,GENBU,294,47,85,110,魔王,Erlkönig,自身が死亡した後に{triggerRate}%の確率で1回だけ発動 / 敵全体に{successRate}%の確率で睡眠を付与 / 自身を自身の最大HPの5 ~ 15%回復した状態で復活 / 自身のAGIを敵全体のHP合計の100%ダウン,"After this hero dies, {triggerRate}% chance to trigger once. / {successRate}% chance to inflict Sleep on all enemies. / Revive this hero with 5 ~ 15% of this hero's Max HP. / Decrease this hero's AGI by 100% of the total HP of all enemies.",音楽; オーストリア,Music; Austria,
2005,グリム兄弟,Brothers Grimm,Image/Heroes/2005.png,original,true,Uncommon,玄武,GENBU,330,35,110,85,ブレーメンの音楽隊,Town Musicians of Bremen,自身がActive Skillでダメージを受けた後に{triggerRate}%の確率で発動 / 自身のHPを回復係数の10%回復 / 先頭の敵に{successRate}%の確率で混乱を付与,"After this hero takes damage from an Active Skill, {triggerRate}% chance to trigger. / Heal this hero for 10% of Healing Coefficient. / {successRate}% chance to inflict Confusion on the first enemy.",文系学問; 動物; ドイツ; デュオ; 童話,Soft Science; Animal; Germany; Duo; Fairy tale,
2006,アルキメデス,Archimedes,Image/Heroes/2006.png,original,true,Uncommon,黄竜,KOURYU,174,75,103,98,ヘウレーカ！ヘウレーカ！,Eureka!Eureka!,バトル開始時に{triggerRate}%の確率で発動 / 自身のシールドを対象の最大HPの100%に更新,"At the start of battle, {triggerRate}% chance to trigger. / Set this hero's SHIELD to 100% of target's Max HP if higher.",理系学問; ギリシャ,Hard Science; Greece,
2007,サンタクロース,Santa Claus,Image/Heroes/2007.png,original,true,Uncommon,朱雀,SUZAKU,255,43,96,116,プレゼント・フォー・ユー,Present for you,自身がActive Skillを使用した後に{triggerRate}%の確率で発動 / 「HPが最も低い味方のHPを回復係数の12 ~ 25%回復」を3回繰り返す,"After this hero uses an Active Skill, {triggerRate}% chance to trigger. / [3 times]Heal the ally with the lowest HP for 12 ~ 25% of Healing Coefficient.",動物; ローマ; 信仰,Animal; Rome; Faith,
2008,シュレディンガー,Erwin Schrödinger,Image/Heroes/2008.png,original,true,Uncommon,黄竜,KOURYU,315,31,102,102,シュレディンガーの猫,Schrödinger's Cat,自身が死亡した後に{triggerRate}%の確率で1回だけ発動 / 自身を自身の最大HPの30%回復した状態で復活 / 自身のINTを自身のINTの20%アップ / 自身のAGIを自身のAGIの20%アップ,"After this hero dies, {triggerRate}% chance to trigger once. / Revive this hero with 30% of this hero's Max HP. / Increase this hero's INT by 20% of this hero's INT. / Increase this hero's AGI by 20% of this hero's AGI.",理系学問; 動物; オーストリア,Hard Science; Animal; Austria,
2009,森蘭丸,Mori Ranmaru,Image/Heroes/2009.png,original,true,Uncommon,朱雀,SUZAKU,168,79,98,107,天下人の使者,Messenger of the Amenor,敵の誰かがActive Skillを使用した後に{triggerRate}%の確率で発動 / AGIが最も高い敵のAGIを自身の最大HPの25%アップ / AGIが最も高い敵のAGIを対象のAGIの40%ダウン / AGIが最も高い敵に{successRate}%の確率でバインドを付与,"After an enemy uses an Active Skill, {triggerRate}% chance to trigger. / Increase the AGI of the enemy with the highest AGI by 25% of this hero's Max HP. / Decrease the AGI of the enemy with the highest AGI by 40% of target's AGI. / {successRate}% chance to inflict Bind on the enemy with the highest AGI.",戦国; 本能寺の変,Sengoku; Honnō-ji Incident,
2010,カフカ,Franz Kafka,Image/Heroes/2010.png,original,true,Uncommon,玄武,GENBU,234,46,68,148,変身,The Metamorphosis,バトル開始時に{triggerRate}%の確率で発動 / 味方全体のHPを回復係数の30%回復 / 味方全体のAGIを自身のAGIの10%アップ,"At the start of battle, {triggerRate}% chance to trigger. / Heal all allies for 30% of Healing Coefficient. / Increase the AGI of all allies by 10% of this hero's AGI.",文系学問; ヨーロッパ,Soft Science; Poland,
2011,孫子,Sun Tzu,Image/Heroes/2011.png,original,true,Uncommon,白虎,BYAKKO,186,57,127,94,兵は詭道なり,A military operation involves deception.,バトル開始時に{triggerRate}%の確率で発動 / 敵全体のAGIを自身のINTの15 ~ 20%ダウン / 味方全体のAGIを自身のINTの10%ダウン,"At the start of battle, {triggerRate}% chance to trigger. / Decrease the AGI of all enemies by 15 ~ 20% of this hero's INT. / Decrease the AGI of all allies by 10% of this hero's INT.",文系学問; 中国,Soft Science; China,
2012,石田三成,Ishida Mitsunari,Image/Heroes/2012.png,original,true,Uncommon,青龍,SEIRYU,246,79,116,63,大一大万大吉,Pull together,敵全体のPHY/INT/AGI合計が元の値の115%以上の時に{triggerRate}%の確率で1回だけ発動 / 先頭の味方のPHYを敵全体のINT増加量合計の20%アップ / 先頭の敵のINTを対象のINT増加量の120 ~ 140%ダウン,"If the total PHY/INT/AGI of all enemies is over 115% of its original value, {triggerRate}% chance to trigger once. / Increase the first ally's PHY by 20% of the total INT increase of all enemies. / Decrease the first enemy's INT by 120 ~ 140% of target's INT increase.",政治; 戦国,Politics; Sengoku,
2013,許褚,Xu Chu,Image/Heroes/2013.png,original,true,Uncommon,白虎,BYAKKO,285,131,51,63,虎痴,Sense of Tiger,自身がActive Skillを使用した後に{triggerRate}%の確率で発動 / 自身のINTを自身のINT減少量の45%アップ / 自身のPHYを自身のINT減少量の200%アップ / 自身のAGIを自身のINT減少量の100%アップ / 自身のINTを70ダウン,"After this hero uses an Active Skill, {triggerRate}% chance to trigger. / Increase this hero's INT by 45% of this hero's INT decrease. / Increase this hero's PHY by 200% of this hero's INT decrease. / Increase this hero's AGI by 100% of this hero's INT decrease. / Decrease this hero's INT by 70.",三国志; 魏; 斧,Romance of the Three Kingdoms; Wei; Axe,
2014,徳川慶喜,Tokugawa Yoshinobu,Image/Heroes/2014.png,original,true,Uncommon,青龍,SEIRYU,219,57,111,99,大政奉還,Taisei hokan,自身がActive Skillを使用した後に{triggerRate}%の確率で発動 / 自身のINTを自身のINT減少量の30%アップ / 敵全体のPHYを自身のINTの15%ダウン / 敵全体のINTを自身のINTの15%ダウン / 自身のINTを自身のINTの40%ダウン,"After this hero uses an Active Skill, {triggerRate}% chance to trigger. / Increase this hero's INT by 30% of this hero's INT decrease. / Decrease the PHY of all enemies by 15% of this hero's INT. / Decrease the INT of all enemies by 15% of this hero's INT. / Decrease this hero's INT by 40% of this hero's INT.",政治; 江戸; 機械,Politics; Edo; Machine,
2015,モンテスキュー,Montesquieu,Image/Heroes/2015.png,original,true,Uncommon,白虎,BYAKKO,186,51,116,111,法の精神,The Spirit of the Laws,バトル開始時に{triggerRate}%の確率で発動 / INTが最も高い敵のINTを自身のINTの30%ダウン / INTが最も低い敵のINTを対象のINTの20%アップ / 自身のINTを自身のINTの5%アップ / 自身のAGIを自身のINTの5%アップ,"At the start of battle, {triggerRate}% chance to trigger. / Decrease the INT of the enemy with the highest INT by 30% of this hero's INT. / Increase the INT of the enemy with the lowest INT by 20% of target's INT. / Increase this hero's INT by 5% of this hero's INT. / Increase this hero's AGI by 5% of this hero's INT.",文系学問; フランス,Soft Science; France,
2016,アナスタシア,Anastasia,Image/Heroes/2016.png,original,true,Uncommon,青龍,SEIRYU,150,31,111,148,幻の生存者,Phantom Survivor,自身のHPが50%未満の時に{triggerRate}%の確率で1回だけ発動 / 敵全体のINTを自身のINTの30 ~ 40%ダウン / 敵全体に対象のINT減少量の50%ダメージ / 味方全体のPHYを自身のINTの20%ダウン,"If this hero's HP is less than 50% , {triggerRate}% chance to trigger once. / Decrease the INT of all enemies by 30 ~ 40% of this hero's INT. / Deal damage to all enemies equal to 50% of target's INT decrease. / Decrease the PHY of all allies by 20% of this hero's INT.",政治; 女性; オカルト; ロシア,Politics; Female; Occult; Russia,
2017,ジェロニモ,Geronimo,Image/Heroes/2017.png,original,true,Uncommon,朱雀,SUZAKU,378,94,26,94,荒野の復讐者,Revenge of the Wilderness,自身がActive Skillでダメージを受けた後に{triggerRate}%の確率で発動 / 先頭の敵のINTを自身のPHYの15%ダウン / INTが最も高い敵のINTを味方全体のPHY減少量合計の30%ダウン / 自身のINTを自身のINTの15%ダウン,"After this hero takes damage from an Active Skill, {triggerRate}% chance to trigger. / Decrease the first enemy's INT by 15% of this hero's PHY. / Decrease the INT of the enemy with the highest INT by 30% of the total PHY decrease of all allies. / Decrease this hero's INT by 15% of this hero's INT.",アメリカ大陸; 信仰; 斧,America; Faith; Axe,int_alleviation:30
2018,茶々,Lady Chacha,Image/Heroes/2018.png,original,true,Uncommon,玄武,GENBU,186,68,111,99,錦城の女主,Mistress of Osaka Castle,味方全体のHP合計が60%未満の時に{triggerRate}%の確率で1回だけ発動 / 味方全体のPHYを自身のINTの30%アップ / 味方全体のシールドを自身のINTの70%に更新,"If the total HP of all allies is less than 60% , {triggerRate}% chance to trigger once. / Increase the PHY of all allies by 30% of this hero's INT. / Set the SHIELD of all allies to 70% of this hero's INT if higher.",女性; 戦国; 長柄武器,Female; Sengoku; Pole weapon,
2019,金太郎,Kintaro,Image/Heroes/2019.png,original,true,Uncommon,朱雀,SUZAKU,339,122,20,85,けだものあつめて すもうのけいこ,Bear and Sumo,自身がActive Skillを使用した後に{triggerRate}%の確率で発動 / 先頭の敵のPHYを対象のPHYの20%アップ / 自身のPHYを自身のPHYの40%アップ,"After this hero uses an Active Skill, {triggerRate}% chance to trigger. / Increase the first enemy's PHY by 20% of target's PHY. / Increase this hero's PHY by 40% of this hero's PHY.",動物; 日本; 斧,Animal; Japan; Axe,
2020,明智光秀,Akechi Mitsuhide,Image/Heroes/2020.png,original,true,Uncommon,青龍,SEIRYU,183,57,111,111,本能寺の変,Honno-ji Incident,自身のHPが30%未満の時に{triggerRate}%の確率で1回だけ発動 / PHYが最も高い敵に自身のINTの80%ダメージ / PHYが最も高い敵に{successRate}%の確率で混乱を付与,"If this hero's HP is less than 30% , {triggerRate}% chance to trigger once. / Deal damage to the enemy with the highest PHY equal to 80% of this hero's INT. / {successRate}% chance to inflict Confusion on the enemy with the highest PHY.",革命; 戦国; 本能寺の変,Revolution; Sengoku; Honnō-ji Incident,reduction:20
2021,高杉晋作,Takasugi Shinsaku,Image/Heroes/2021.png,original,true,Uncommon,黄竜,KOURYU,117,68,111,122,奇兵隊,Kiheitai,バトル開始時に{triggerRate}%の確率で発動 / 自身に{successRate}%の確率でバリアを付与 / 自身に100%の確率でデコイを付与,"At the start of battle, {triggerRate}% chance to trigger. / {successRate}% chance to inflict Barrier on this hero. / 100% chance to inflict Decoy on this hero.",戦術; 幕末,Tactics; Bakumatsu,
