skillId,name_en,name_ja,description_ja
0,NONE,なし,なし
1,Confusion,混乱,ランダムにPHYの100%分ダメージ
2,Position Change,ポジションチェンジ,-
3,Team Change,チームチェンジ,-
4,Resurrection,リザレクション,-
7,Curse,呪い,呪い時に発動、自分にダメージ、最もHPの低い敵を呪い
7,Curse,呪い,呪い時に発動、自分にダメージ、最もHPの低い敵を呪い
1001,Rule the Empire by Force,天下布武,自分がActiveSkillを使用した後、25%の確率で発動 : 先頭の敵のHPに、自分のPHYの150%-200%分ダメージ
1002,The Demon of Corsica,コルシカの悪魔,自分がActiveSkillを使用した後、25%の確率で発動 : 先頭の敵のHPに、自分のINTの150%-200%分ダメージ
1003,A Cunning Hero in Chaotic Times,乱世の奸雄,自分がActiveSkillを使用した後、100%の確率で発動 : 最もPHYが高い味方のPHYを、自分のPHYの10%分アップ
1003,A Cunning Hero in Chaotic Times,乱世の奸雄,自分のPHYを、自分のPHYの15%分アップ
1003,A Cunning Hero in Chaotic Times,乱世の奸雄,自分のHPを、自分のPHYの30%分回復
1004,First President,1stプレジデント,自分がActiveSkillを使用した後、25%の確率で発動 : 味方全員のINTを、自分のINTの30%分アップ
1004,First President,1stプレジデント,味方全員のAGIを、自分のINTの30%分アップ
1005,Mona Lisa,モナリザ,初めてHP60%未満になった時、敵全員にINTの80%分ダメージ
1006,A Match for a Thousand Foes,一騎当千,初死亡時、HP50%で復活
1008,Ode to Joy,歓喜の歌,初めてHP50%未満になった時、敵全員のPHY / INT / AGIをINTの25%分ダウン
1008,Ode to Joy,歓喜の歌,初めてHP50%未満になった時、敵全員のPHY / INT / AGIをINTの25%分ダウン
1008,Ode to Joy,歓喜の歌,初めてHP50%未満になった時、敵全員のPHY / INT / AGIをINTの25%分ダウン
1009,Swallow's Blade,燕返し,自分がActiveSkillを使用した後、100%の確率で発動 : 自分のAGIを、自分のAGIの10%分アップ
1009,Swallow's Blade,燕返し,自分のPHY/INTの低い方を、自分のAGIの5%-8%分アップ
1009,Swallow's Blade,燕返し,中衛の敵のPHY/INTの高い方を、自分のAGIの5%-8%分ダウン
1012,Edison Effect,エジソン・エフェクト,自分がActiveSkillを使用した後、25%の確率で発動 : 味方全員のINTを、自分のINTの30%分アップ
1016,Wright Flyer,ライトフライヤー号,バトル開始時、味方全員のAGIをINTの10%分アップ
1017,Crypto Slash,クリプトスラッシュ,初めてHPが50%未満になった時、先頭の敵にPHYの120%分ダメージ
