exec,enemyType,name_en,name_ja,name_zh,param_hp,param_phy,param_int,param_agi,trend_hp,trend_phy,trend_int,trend_agi,actives,passive,image
FALSE,101,Creeper-short,クリーパー ショート,Creeper-short,8,4,4,4,42,36,16,26,4001/4001/4003,0,101.png
FALSE,102,Creeper-tall,クリーパー トール,Creeper-tall,9,5,5,5,39,37,17,27,4003/4003/4003,0,102.png
FALSE,103,Creeper-grande,クリーパー グランデ,Creeper-grande,9,5,5,5,39,27,27,27,4003/4010/4010,0,103.png
FALSE,104,Creeper-venti,クリーパー ヴェンティ,Creeper-venti,10,6,6,6,39,37,17,27,4003/4005/4005,4016,104.png
FALSE,105,Creeper-macchiato,クリーパー マキアート,Creeper-macchiato,9,5,5,5,39,37,17,27,4003/4003/4003,0,105.png
FALSE,106,Creeper-frappuccino,クリーパー フラペチーノ,Creeper-frappuccino,16,12,12,12,39,37,17,27,4003/4012/4012,0,106.png
FALSE,111,Elk Cloner-short,エルククローナ ショート,Elk Cloner-short,5,7,4,4,30,24,42,24,4002/4002/4004,0,111.png
FALSE,112,Elk Cloner-tall,エルククローナ トール,Elk Cloner-tall,6,8,5,5,30,25,40,25,4002/4004/4004,0,112.png
FALSE,113,Elk Cloner-grande,エルククローナ グランデ,Elk Cloner-grande,6,8,5,5,30,25,40,25,4002/4013/4013,0,113.png
FALSE,114,Elk Cloner-venti,エルククローナ ヴェンティ,Elk Cloner-venti,7,9,6,6,32,25,38,25,4004/4006/4006,4016,114.png
FALSE,115,Elk Cloner-macchiato,エルククローナ マキアート,Elk Cloner-macchiato,6,8,5,5,30,25,40,25,4004/4004/4004,0,115.png
FALSE,116,Elk Cloner-frappuccino,エルククローナ フラペチーノ,Elk Cloner-frappuccino,13,15,12,12,32,27,34,27,4004/4015/4015,0,116.png
FALSE,121,Heartbleed-short,ハートブリード ショート,Heartbleed-short,5,4,7,4,30,24,42,24,4001/4001/4003,0,121.png
FALSE,122,Heartbleed-tall,ハートブリード トール,Heartbleed-tall,6,5,8,5,30,25,40,25,4003/4003/4003,0,122.png
FALSE,123,Heartbleed-grande,ハートブリード グランデ,Heartbleed-grande,6,5,8,5,30,25,40,25,4003/4010/4010,0,123.png
FALSE,124,Heartbleed-venti,ハートブリード ヴェンティ,Heartbleed-venti,7,6,9,6,32,25,38,25,4003/4005/4005,4017,124.png
FALSE,125,Heartbleed-macchiato,ハートブリード マキアート,Heartbleed-macchiato,6,5,8,5,30,25,40,25,4003/4003/4003,0,125.png
FALSE,126,Heartbleed-frappuccino,ハートブリード フラペチーノ,Heartbleed-frappuccino,13,12,15,12,32,27,34,27,4003/4012/4012,0,126.png
FALSE,131,Melissa-short,メリッサ ショート,Melissa-short,6,4,6,4,36,24,36,24,4002/4002/4007,0,131.png
FALSE,132,Melissa-tall,メリッサ トール,Melissa-tall,7,5,7,5,35,25,35,25,4002/4007/4007,0,132.png
FALSE,133,Melissa-grande,メリッサ グランデ,Melissa-grande,7,5,7,5,35,25,35,25,4002/4013/4013,0,133.png
FALSE,134,Melissa-venti,メリッサ ヴェンティ,Melissa-venti,8,6,8,6,36,25,34,25,4004/4006/4006,4017,134.png
FALSE,135,Melissa-macchiato,メリッサ マキアート,Melissa-macchiato,7,5,7,5,35,25,35,25,4004/4004/4004,0,135.png
FALSE,136,Melissa-frappuccino,メリッサ フラペチーノ,Melissa-frappuccino,14,12,14,12,34,27,32,27,4004/4014/4014,0,136.png
FALSE,137,Melissa-grande,メリッサ グランデ,Melissa-grande,7,5,7,5,35,25,35,25,4004/4008/4008,0,133.png
FALSE,138,Melissa-venti,メリッサ ヴェンティ,Melissa-venti,8,6,8,6,36,25,34,25,4004/4008/4006,4009,134.png
FALSE,141,Creeper-tall doppio,クリーパー トール ドッピオ,Creeper-tall doppio,9,5,5,5,39,37,17,27,4003/4003/4003,0,141.png
FALSE,142,Melissa-tall doppio,メリッサ トール ドッピオ,Melissa-tall doppio,7,5,7,5,35,25,35,25,4002/4007/4007,0,142.png
FALSE,143,Creeper-grande doppio,クリーパー グランデ ドッピオ,Creeper-grande doppio,9,5,5,5,39,27,27,27,4003/4010/4010,0,143.png
FALSE,144,Melissa-grande doppio,メリッサ グランデ ドッピオ,Melissa-grande doppio,7,5,7,5,35,25,35,25,4004/4008/4008,0,144.png
FALSE,145,Creeper-venti doppio,クリーパー ヴェンティ ドッピオ,Creeper-venti doppio,10,6,6,6,39,37,17,27,4003/4005/4005,4016,145.png
FALSE,146,Melissa-venti doppio,メリッサ ヴェンティ ドッピオ,Melissa-venti doppio,8,6,8,6,36,25,34,25,4004/4008/4006,4009,146.png
FALSE,147,Creeper-frappuccino doppio,クリーパー フラペチーノ ドッピオ,Creeper-frappuccino doppio,16,12,12,12,39,37,17,27,4003/4012/4012,0,147.png
FALSE,148,Melissa-frappuccino doppio,メリッサ フラペチーノ ドッピオ,Melissa-frappuccino doppio,14,12,14,12,34,27,32,27,4004/4014/4014,0,148.png
FALSE,149,Elk Cloner-tall doppio,エルククローナ トール ドッピオ,Elk Cloner-tall doppio,6,8,5,5,30,25,40,25,4002/4004/4004,0,149.png
FALSE,150,Elk Cloner-grande doppio,エルククローナ グランデ ドッピオ,Elk Cloner-grande doppio,6,8,5,5,30,25,40,25,4002/4013/4013,0,150.png
FALSE,151,Elk Cloner-venti doppio,エルククローナ ヴェンティ ドッピオ,Elk Cloner-venti doppio,7,9,6,6,32,25,38,25,4004/4006/4006,4009,151.png
FALSE,152,Elk Cloner-frappuccino doppio,エルククローナ フラペチーノ ドッピオ,Elk Cloner-frappuccino doppio,13,15,12,12,32,27,34,27,4004/4015/4015,0,152.png
FALSE,153,Heartbleed-tall doppio,ハートブリード トール ドッピオ,Heartbleed-tall doppio,6,5,8,5,30,25,40,25,4003/4003/4003,0,153.png
FALSE,154,Heartbleed-grande doppio,ハートブリード グランデ ドッピオ,Heartbleed-grande doppio,6,5,8,5,30,25,40,25,4003/4010/4010,0,154.png
FALSE,155,Heartbleed-venti doppio,ハートブリード ヴェンティ ドッピオ,Heartbleed-venti doppio,7,6,9,6,32,25,38,25,4003/4005/4005,4016,155.png
FALSE,156,Heartbleed-frappuccino doppio,ハートブリード フラペチーノ ドッピオ,Heartbleed-frappuccino doppio,13,12,15,12,32,27,34,27,4003/4012/4012,0,156.png
FALSE,161,Byte Bandit-short,バイトバンディット ショート,Byte Bandit-short,11,6,2,5,26,43,14,36,4018/4001/4001,0,161.png
FALSE,162,Byte Bandit-tall,バイトバンディット トール,Byte Bandit-tall,15,7,3,5,30,42,18,30,4001/4001/4018,0,162.png
FALSE,163,Byte Bandit-grande,バイトバンディット グランデ,Byte Bandit-grande,9,7,3,7,18,42,18,42,4018/4001/4018,0,163.png
FALSE,164,Byte Bandit-venti,バイトバンディット ヴェンティ,Byte Bandit-venti,16,10,3,7,25,47,14,33,4003/4018/4005,4020,164.png
FALSE,165,Byte Bandit-macchiato,バイトバンディット マキアート,Byte Bandit-macchiato,15,7,3,5,30,42,18,30,4019/4001/4001,4020,165.png
FALSE,166,Byte Bandit-frappuccino,バイトバンディット フラペチーノ,Byte Bandit-frappuccino,19,19,5,13,18,53,14,36,4019/4001/4003,4020,166.png
FALSE,167,Byte Bandit-tall doppio,バイトバンディット トール ドッピオ,Byte Bandit-tall doppio,15,7,3,5,30,42,18,30,4003/4003/4018,0,167.png
FALSE,168,Byte Bandit-grande doppio,バイトバンディット グランデ ドッピオ,Byte Bandit-grande doppio,9,7,3,7,18,42,18,42,4019/4003/4019,0,168.png
FALSE,169,Byte Bandit-venti doppio,バイトバンディット ヴェンティ ドッピオ,Byte Bandit-venti doppio,16,10,3,5,27,51,15,26,4005/4018/4005,4020,169.png
FALSE,170,Byte Bandit-frappuccino doppio,バイトバンディット フラペチーノ ドッピオ,Byte Bandit-frappuccino doppio,19,19,5,13,18,53,14,36,4019/4003/4003,4020,170.png
FALSE,171,ディープ・ヨシュカ,ディープ・ヨシュカ,ディープ・ヨシュカ,20000000,1,1,1,30,30,30,30,4021/4022/4023,0,171.png
FALSE,181,Bagle-short,ベーグル ショート,Bagle-short,18,3,5,3,42,21,36,21,4002/4002/4002,0,181.png
FALSE,182,Bagle-tall,ベーグル トール,Bagle-tall,21,4,6,3,42,24,36,18,4004/4006/4004,4024,182.png
FALSE,183,Bagle-grande,ベーグル グランデ,Bagle-grande,15,4,6,5,30,24,36,30,4013/4006/4013,4024,183.png
FALSE,184,Bagle-venti,ベーグル ヴェンティ,Bagle-venti,21,4,9,5,34,19,43,24,4006/4006/4006,4025,184.png
FALSE,185,Bagle-macchiato,ベーグル マキアート,Bagle-macchiato,21,4,6,3,42,24,36,18,4006/4004/4006,4025,185.png
FALSE,186,Bagle-frappuccino,ベーグル フラペチーノ,Bagle-frappuccino,24,6,18,11,22,17,50,31,4004/4004/4006,4026,186.png
FALSE,172,ディープ・ヨシュカ,ディープ・ヨシュカ チョコラート,ディープ・ヨシュカ チョコラート,50000000,1,1,1,30,30,30,30,4021/4022/4023,4027,172.png
FALSE,310,Creeper-short,クリーパー ショート,Creeper-short,8,4,4,4,42,36,16,26,4001/4001/4005,0,101.png
FALSE,311,Creeper-tall,クリーパー トール,Creeper-tall,9,5,5,5,39,37,17,27,4003/4003/4005,0,102.png
FALSE,312,Creeper-grande,クリーパー グランデ,Creeper-grande,9,5,5,5,39,27,27,27,4010/4003/4003,0,103.png
FALSE,313,Creeper-venti,クリーパー ヴェンティ,Creeper-venti,10,6,6,6,39,37,17,27,4005/4003/4005,4016,104.png
FALSE,314,Creeper-macchiato,クリーパー マキアート,Creeper-macchiato,9,5,5,5,39,37,17,27,4010/4010/4005,0,105.png
FALSE,315,Creeper-frappuccino,クリーパー フラペチーノ,Creeper-frappuccino,16,12,12,12,39,37,17,27,4005/4003/4005,0,106.png
FALSE,316,Creeper-tall doppio,クリーパー トール ドッピオ,Creeper-tall doppio,9,5,5,5,39,37,17,27,4003/4003/4005,0,141.png
FALSE,317,Creeper-grande doppio,クリーパー グランデ ドッピオ,Creeper-grande doppio,9,5,5,5,39,27,27,27,4011/4003/4003,0,143.png
FALSE,318,Creeper-venti doppio,クリーパー ヴェンティ ドッピオ,Creeper-venti doppio,10,6,6,6,39,37,17,27,4005/4003/4005,4016,145.png
FALSE,319,Creeper-frappuccino doppio,クリーパー フラペチーノ ドッピオ,Creeper-frappuccino doppio,16,12,12,12,39,37,17,27,4005/4003/4005,0,147.png
FALSE,320,Elk Cloner-short,エルククローナ ショート,Elk Cloner-short,5,7,4,4,30,24,42,24,4002/4002/4004,0,111.png
FALSE,321,Elk Cloner-tall,エルククローナ トール,Elk Cloner-tall,6,8,5,5,30,25,40,25,4002/4004/4004,0,112.png
FALSE,322,Elk Cloner-grande,エルククローナ グランデ,Elk Cloner-grande,6,8,5,5,30,25,40,25,4013/4013/4002,0,113.png
FALSE,323,Elk Cloner-venti,エルククローナ ヴェンティ,Elk Cloner-venti,7,9,6,6,32,25,38,25,4004/4006/4006,4017,114.png
FALSE,324,Elk Cloner-macchiato,エルククローナ マキアート,Elk Cloner-macchiato,6,8,5,5,30,25,40,25,4004/4004/4004,0,115.png
FALSE,325,Elk Cloner-frappuccino,エルククローナ フラペチーノ,Elk Cloner-frappuccino,13,15,12,12,32,27,34,27,4015/4015/4004,0,116.png
FALSE,326,Elk Cloner-tall doppio,エルククローナ トール ドッピオ,Elk Cloner-tall doppio,6,8,5,5,30,25,40,25,4002/4004/4004,0,149.png
FALSE,327,Elk Cloner-grande doppio,エルククローナ グランデ ドッピオ,Elk Cloner-grande doppio,6,8,5,5,30,25,40,25,4013/4013/4002,0,150.png
FALSE,328,Elk Cloner-venti doppio,エルククローナ ヴェンティ ドッピオ,Elk Cloner-venti doppio,7,9,6,6,32,25,38,25,4004/4006/4006,4017,151.png
FALSE,329,Elk Cloner-frappuccino doppio,エルククローナ フラペチーノ ドッピオ,Elk Cloner-frappuccino doppio,13,15,12,12,32,27,34,27,4015/4015/4004,0,152.png
FALSE,330,Heartbleed-short,ハートブリード ショート,Heartbleed-short,5,4,7,4,30,24,42,24,4010/4001/4001,0,121.png
FALSE,331,Heartbleed-tall,ハートブリード トール,Heartbleed-tall,6,5,8,5,30,25,40,25,4010/4003/4003,0,122.png
FALSE,332,Heartbleed-grande,ハートブリード グランデ,Heartbleed-grande,6,5,8,5,30,25,40,25,4010/4005/4010,0,123.png
FALSE,333,Heartbleed-venti,ハートブリード ヴェンティ,Heartbleed-venti,7,6,9,6,32,25,38,25,4010/4005/4005,4016,124.png
FALSE,334,Heartbleed-macchiato,ハートブリード マキアート,Heartbleed-macchiato,6,5,8,5,30,25,40,25,4010/4003/4003,0,125.png
FALSE,335,Heartbleed-frappuccino,ハートブリード フラペチーノ,Heartbleed-frappuccino,13,12,15,12,32,27,34,27,4012/4012/4003,0,126.png
FALSE,336,Heartbleed-tall doppio,ハートブリード トール ドッピオ,Heartbleed-tall doppio,6,5,8,5,30,25,40,25,4011/4003/4003,0,153.png
FALSE,337,Heartbleed-grande doppio,ハートブリード グランデ ドッピオ,Heartbleed-grande doppio,6,5,8,5,30,25,40,25,4012/4005/4010,0,154.png
